row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country,facility_type
Canada-MB-21-AssistedLiving-21-AssistedLiving-1,Charleswood Care Centre,,,,,,,,,,,,204-888-3363,,204-896-4763,,5501 Roblin Boulevard,,Winnipeg,MB,R3R 0G8,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-2,Heritage Lodge,,,,,,,,,,,,204-888-7940,,204-832-6544,,3555 Portage Avenue,,Winnipeg,MB,R3K 0X2,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-3,Luther Home,,,,,,,,,,,,204-338-4641,,204-338-4643,,1081 Andrews Street,,Winnipeg,MB,R2V 2G9,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-4,Extendicare/Oakview Place,,,,,,,,,,,,204-888-3005,,204-831-8101,,2395 Ness Avenue,,Winnipeg,MB,R3J 1A5,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-5,Deer Lodge Centre,,,,,,,,,,,,204-837-1301,,204-889-0430,,2109 Portage Avenue,,Winnipeg,MB,R3J 0L3,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-6,Donwood Manor,,,,,,,,,,,,204-668-4410,,204-663-5249,,171 Donwood Drive,,Winnipeg,MB,R2G 0V9,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-7,Concordia Place,,,,,,,,,,,,204-661-7372,,204-661-7297,,1000 Molson Avenue,,Winnipeg,MB,R2K 4L5,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-8,Actionmarguerite (Saint-Boniface),,,,,,,,,,,,204-233-3692,,204-233-6803,,185 Despins Street,,Winnipeg,MB,R2H 2B3,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-9,Extendicare/Vista Park Lodge,,,,,,,,,,,,204-257-6688,,204-257-0446,,144 Nova Vista Drive,,Winnipeg,MB,R2N 1P8,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-10,River Park Gardens,,,,,,,,,,,,204-255-9073,,204-257-6467,,735 St. Annes Road,,Winnipeg,MB,R2N 0C4,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-11,The Convalescent Home of Winnipeg,,,,,,,,,,,,204-453-4663,,204-453-7149,,276 Hugo Street North,,Winnipeg,MB,R3M 2N6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-12,Kildonan Personal Care Centre,,,,,,,,,,,,204-334-4633,,204-334-4632,,1970 Henderson Highway,,Winnipeg,MB,R2G 1P2,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-13,Maples Care Centre by Revera,,,,,,,,,,,,204-632-8570,,204-697-0249,,500 Mandalay Drive,,Winnipeg,MB,R2P 1V4,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-14,The Salvation Army Golden West Centennial Lodge,,,,,,,,,,,,204-888-3311,,204- 831-0544,,811 School Road,,Winnipeg,MB,R2Y 0S8,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-15,Poseidon Care Centre,,,,,,,,,,,,204-452-6204,,204-474-2173,,70 Poseidon Bay,,Winnipeg,MB,R3M 3E5,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-16,Riverview Health Centre,,,,,,,,,,,,204-478-6203,,204-452-3246,,1 Morley Avenue,,Winnipeg,MB,R3L 2P4,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-17,Misericordia Health Centre,,,,,,,,,,,,204-778-8165,,204-779-0223,,99 Cornish Avenue,,Winnipeg,MB,R3C 1A2,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-18,Park Manor Personal Care Home,,,,,,,,,,,,204-222-3251,,204-222-3237,,301 Redonda Street,,Winnipeg,MB,R2C 1L7,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-19,Lions Personal Care Centre,,,,,,,,,,,,204-784-1240,,204-784-2723,,320 Sherbrook Street,,Winnipeg,MB,R3B 2W6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-20,Parkview Place,,,,,,,,,,,,204-942-5291,,204-947-1969,,440 Edmonton Street,,Winnipeg,MB,R3B 2M4,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-21,Calvary Place Personal Care Home,,,,,,,,,,,,204-943-4424,,204-783-7524,,1325 Erin Street,,Winnipeg,MB,R3E 3R6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-22,Bethania Mennonite Personal Care Home,,,,,,,,,,,,204-667-0795,,204-667-7078,,1045 Concordia Avenue,,Winnipeg,MB,R2K 3S7,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-23,Holy Family Home,,,,,,,,,,,,204-589-7381,,204-589-8605,,165 Aberdeen Avenue,,Winnipeg,MB,R2W 1T9,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-24,River East Personal Care Home,,,,,,,,,,,,204-668-7460,,204-668-7459,,1375 Molson Street,,Winnipeg,MB,R2K 4K8,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-25,Fred Douglas Lodge,,,,,,,,,,,,204-586-8541,,204-586-5510,,1275 Burrows Avenue,,Winnipeg,MB,R2X 0B8,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-26,St. Joseph's Residence,,,,,,,,,,,,204-697-8031,,204-697-8075,,1149 Leila Avenue,,Winnipeg,MB,R2P 1S6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-27,Beacon Hill Lodge,,,,,,,,,,,,204-942-7541,,204-944-0135,,190 Fort Street,,Winnipeg,MB,R3C 1C9,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-28,Meadowood Manor,,,,,,,,,,,,204-257-2394,,204-254-5402,,577 St. Anne's Road,,Winnipeg,MB,R2M 5B2,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-29,Misericordia Place,,,,,,,,,,,,204-774-6581,,204-783-6776,,44 Furby Street,,Winnipeg,MB,R3C 2A1,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-30,Middlechurch Home of Winnipeg,,,,,,,,,,,,204-339-1947,,204-334-2503,,280 Balderstone Road,,Winnipeg,MB,R4A 4A6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-31,Actionmarguerite (Saint-Vital),,,,,,,,,,,,204-254-3332,,204-254-0329,,450 River Road,,Winnipeg,MB,R2M 5M4,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-32,St. Norbert Personal Care Home,,,,,,,,,,,,204-269-4538,,204-269-6374,,50 St. Pierre Street,,Winnipeg,MB,R3V 1J6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-33,Southeast Personal Care Home,,,,,,,,,,,,204-269-7111,,204-269-8819,,1265 Lee Boulevard,,Winnipeg,MB,R3T 2M3,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-34,West Park Manor Personal Care Home,,,,,,,,,,,,204-889-3330,,204-832-9555,,3199 Grant Avenue,,Winnipeg,MB,R3R 1X2,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-35,Golden Links Lodge,,,,,,,,,,,,204-257‐9947,,204-257‐2405,,2280 St. Mary's Road,,Winnipeg,MB,R2N 3Z6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-36,Golden Door Geriatric Centre,,,,,,,,,,,,204-269-6308,,204-269-5626,,1679 Pembina Highway,,Winnipeg,MB,R3T 2G6,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-37,The Saul and Claribel Simkin Centre,,,,,,,,,,,,204-586‐9781,,204-589‐9033,,1 Falconridge Drive,,Winnipeg,MB,R3Y 1V9,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-38,Pembina Place Mennonite Personal Care Home,,,,,,,,,,,,204-284-0802,,204-474-0073,,285 Pembina Highway,,Winnipeg,MB,R3L 2E1,Canada,Assisted Living
Canada-MB-21-AssistedLiving-21-AssistedLiving-39,Extendicare/Tuxedo Villa,,,,,,,,,,,,204-889-2650,,204-896-0258,,2060 Corydon Avenue,,Winnipeg,MB,R3P 0N3,Canada,Assisted Living
