row_id,Facility Name,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Phone,Country
USA-KS-91-KS-All-output-109,"MARION ASSISTED LIVING, LLC",N057007,Assisted Living Facility,200 N. EISENHOWER ROAD,MARION,MARION,KS,66861,BONNIE SUE SAWYER,620-382-3000,US
USA-KS-91-KS-All-output-110,MARQUIS PLACE,N015008,Assisted Living Facility,205 W. 21ST STREET,CONCORDIA,CLOUD,KS,66901,SONIA DERUSSEAU,785-243-2255,US
USA-KS-91-KS-All-output-111,MCCRITE RETIREMENT ASSISTED LIVING,N089047,Assisted Living Facility,1608 SW 37TH STREET,TOPEKA,SHAWNEE,KS,66611-2564,PATRICK I MCCRITE,785-267-2960,US
USA-KS-91-KS-All-output-112,MEADOWLARK HILLS,N081004,Nursing Facility; Assisted Living Facility,2121 MEADOWLARK ROAD,MANHATTAN,RILEY,KS,66502-4569,ANNA LEE PEACE BOWYER,785-537-4610,US
USA-KS-91-KS-All-output-113,MEMORIAL LIVING CENTER,N094001,Assisted Living Facility,102 E LANE DR,JOHNSON,STANTON,KS,67855,LORI AMERIN,620-492-2356,US
USA-KS-91-KS-All-output-114,MENNONITE FRIENDSHIP COMMUNITIES INC,N078005,Nursing Facility; Assisted Living Facility,600 W BLANCHARD AVE,SOUTH HUTCHINSON,RENO,KS,67505-1526,LEIGH PECK,620-663-7175,US
USA-KS-91-KS-All-output-115,MIDLAND CARE AT LINNWOOD PARK,N044005,Assisted Living FacilityHome Plus,1509 LINN ST,VALLEY FALLS,JEFFERSON,KS,66088-1185,KRISTI LEONARD,785-945-3634,US
USA-KS-91-KS-All-output-116,MONTEREY VILLAGE,N023022,Assisted Living Facility,3901 PETERSON ROAD,LAWRENCE,DOUGLAS,KS,66049,KATIE WILCOX,573-471-1113,US
USA-KS-91-KS-All-output-117,MORNINGSTAR CARE HOMES OF FREDONIA,N103004,Assisted Living Facility,2111 E. WASHINGTON STREET,FREDONIA,WILSON,KS,66736-1759,SCOTT D. SCHULTZ,785-594-2603,US
USA-KS-91-KS-All-output-118,MORNINGSTAR CARE HOMES OF NEODESHA,N103005,Assisted Living Facility,400 FIR STREET,NEODESHA,WILSON,KS,66757-1298,SUSAN APOLLO,785-594-2603,US
USA-KS-91-KS-All-output-119,NEUVANT HOUSE OF LAWRENCE,N023020,Assisted Living Facility,1216 BILTMORE DRIVE,LAWRENCE,DOUGLAS,KS,66049,EMILY HILDING,785-856-7900,US
USA-KS-91-KS-All-output-120,NEWTON PRESBYTERIAN MANOR,N040005,Nursing Facility; Assisted Living Facility,1200 E. 7TH STREET,NEWTON,HARVEY,KS,67114-2862,MARC KESSINGER,316-283-5400,US
USA-KS-91-KS-All-output-121,OTTAWA RETIREMENT PLAZA,N030006,Assisted Living Facility,1042 W. 15TH STREET,OTTAWA,FRANKLIN,KS,66067,VALERIE BREWER,785-242-1127,US
USA-KS-91-KS-All-output-122,PARK MEADOWS SENIOR LIVING,N046077,Assisted Living Facility,5901 W. 107TH STREET,OVERLAND PARK,JOHNSON,KS,66207-3851,BARBARA OVERMANN,913-901-8200,US
USA-KS-91-KS-All-output-123,PARK WEST PLAZA,N087046,Nursing Facility; STATE ONLY Assisted Living Facility,505 N. MAIZE ROAD,WICHITA,SEDGWICK,KS,67212,KELLY THOMAS,316-729-4114,US
USA-KS-91-KS-All-output-124,PARKSIDE HOMES,N057004,Nursing Facility; Assisted Living Facility,200 WILLOW ROAD,HILLSBORO,MARION,KS,67063-1904,VALERIE MCGHEE,620-947-2301,US
USA-KS-91-KS-All-output-125,PARKWOOD VILLAGE,N076003,Assisted Living Facility,401 ROCHESTER,PRATT,PRATT,KS,67124-2900,SHARON WILL,620-672-5541,US
USA-KS-91-KS-All-output-126,PARSONS PRESBYTERIAN MANOR,N050005,Nursing Facility; Assisted Living Facility,3501 DIRR AVENUE,PARSONS,LABETTE,KS,67357-2298,MAEGEN PEGUES (RETURN FROM LOA),620-421-1450,US
USA-KS-91-KS-All-output-127,PETERSON ASSISTED LIVING,N070007,Assisted Living Facility,629 HOLLIDAY STREET,OSAGE CITY,OSAGE,KS,66523-1138,PATRICIA GUNDY,785-528-3301,US
USA-KS-91-KS-All-output-128,PHILLIPS COUNTY RETIREMENT CENTER,N074003,Nursing Facility; Assisted Living Facility,"1300 STATE STREET, PO BOX 628",PHILLIPSBURG,PHILLIPS,KS,67661-628,KRISTI KUCK,785-543-2131,US
USA-KS-91-KS-All-output-129,PIONEER RIDGE RETIREMENT COMMUNITY,N023019,Nursing Facility; Assisted Living Facility,4851 HARVARD ROAD,LAWRENCE,DOUGLAS,KS,66049-3964,ANN BELL,785-749-2000,US
USA-KS-91-KS-All-output-130,PLUM CREEK PLAZA,N027006,Assisted Living Facility,100 N. COUNTY ROAD,HOLYROOD,ELLSWORTH,KS,67450-248,CAROLYN SOUKUP,785-252-3800,US
USA-KS-91-KS-All-output-131,PRAIRIE HOMESTEAD ASSISTED LIVING,N087062,Assisted Living Facility,1601 W. MAY STREET,WICHITA,SEDGWICK,KS,67213,DIANE HULL,316-263-8264,US
USA-KS-91-KS-All-output-132,PRAIRIE MISSION RETIREMENT VILLAGE,N067007,Nursing Facility; Assisted Living Facility,242 CARROLL STREET,SAINT PAUL,NEOSHO,KS,66771-9802,MELINDA EWAN,620-449-2400,US
USA-KS-91-KS-All-output-133,PRAIRIE SUNSET HOME,N078017,Nursing Facility; Assisted Living Facility,601 E. MAIN STREET,PRETTY PRAIRIE,RENO,KS,67570,"AARON D. KELLEY, JR.",620-459-6822,US
USA-KS-91-KS-All-output-134,REDBUD PLAZA ASSISTED LIVING,N075007,Assisted Living Facility,205 W 9TH STREET,ONAGA,POTTAWATOMIE,KS,66521,TAYLOR HAGEDORN,785-889-4142,US
USA-KS-91-KS-All-output-135,REGENT PARK ASSISTED LIVING AND MEMORY CARE,N087069,Assisted Living Facility,10600 E 13TH STREET NORTH,WICHITA,SEDGWICK,KS,67206,TRACI HAYDEN,316-337-5400,US
USA-KS-91-KS-All-output-136,RIVER BEND ASSISTED LIVING,N005006,Assisted Living Facility,3820 BROADWAY,GREAT BEND,BARTON,KS,67530,JAMIE VSETECKA-PETERS,620-792-7017,US
USA-KS-91-KS-All-output-137,ROLLING HILLS ASSISTED LIVING APARTMENTS,N089036,Assisted Living Facility,2410 SW URISH ROAD,TOPEKA,SHAWNEE,KS,66614-4347,TAMMY BLAKE,785-273-2202,US
USA-KS-91-KS-All-output-138,ROOKS CO SENIOR SERVICES INC,N082001,Nursing Facility; Assisted Living Facility,1000 S WASHINGTON STREET,PLAINVILLE,ROOKS,KS,67663-3699,FONTELLA FANT,785-434-4536,US
USA-KS-91-KS-All-output-139,ROSE ESTATES ASSISTED LIVING COMMUNITY,N046060,Assisted Living Facility,12700 ANTIOCH ROAD,OVERLAND PARK,JOHNSON,KS,66213-2723,ALAN WARE,913-825-9600,US
USA-KS-91-KS-All-output-140,SALINA PRESBYTERIAN MANOR,N085005,Nursing Facility; Residential Health Care Facility; Assisted Living Facility,2601 E. CRAWFORD STREET,SALINA,SALINE,KS,67401-3791,DESIDERATA JADE DANGELO,785-825-1366,US
USA-KS-91-KS-All-output-141,SANDSTONE HEIGHTS NURSING HOME,N080002,Nursing Facility; Assisted Living Facility,"440 STATE STREET, PO BOX 50A",LITTLE RIVER,RICE,KS,67457,TODD D. SCHLOSSER,620-897-6266,US
USA-KS-91-KS-All-output-142,SCHOWALTER VILLA,N040006,Nursing Facility; Assisted Living Facility,"200 W. CEDAR STREET, PO BOX 5000",HESSTON,HARVEY,KS,67062-2095,TREVA GREASER,620-327-0400,US
USA-KS-91-KS-All-output-143,SEDGWICK PLAZA,N087033,Assisted Living Facility,2455 N. WOODLAWN STREET,WICHITA,SEDGWICK,KS,67220-3950,TERRI GREAVES,316-687-3741,US
USA-KS-91-KS-All-output-144,SHAWNEE HEARTLAND ASSISTED LIVING,N046056,Assisted Living Facility,16207 MIDLAND DRIVE,SHAWNEE,JOHNSON,KS,66217,STEVEN BUSBY,913-248-6600,US
USA-KS-91-KS-All-output-145,SHERIDAN COUNTY HEALTH COMPLEX ASSISTED LIVING,N090001,Assisted Living Facility,"826 18TH STREET, PO BOX 167",HOXIE,SHERIDAN,KS,67740,STACEY BROWN,785-675-3281,US
USA-KS-91-KS-All-output-146,SILVERCREST AT COLLEGE VIEW,N046094,Assisted Living Facility; Residential Health Care Facility,13600 WEST 110TH TERRACE,LENEXA,JOHNSON,KS,66215,NANCY CORRELL,913-915-6041,US
USA-KS-91-KS-All-output-147,SILVERCREST AT DEER CREEK,N046070,Assisted Living Facility,13060 S. METCALF AVENUE,OVERLAND PARK,JOHNSON,KS,66213-2618,KATRINA LYNN SIMMS,913-681-1101,US
USA-KS-91-KS-All-output-148,STONEYBROOK ASSISTED LIVING,N081007,Assisted Living Facility,2029 LITTLE KITTEN AVENUE,MANHATTAN,RILEY,KS,66503-7545,KAREN VIDRICKSEN,785-537-1065,US
USA-KS-91-KS-All-output-149,STONEYBROOK RETIREMENT COMMUNITY,N081005,Nursing Facility; Assisted Living Facility,2025 LITTLE KITTEN AVENUE,MANHATTAN,RILEY,KS,66503-7545,ARELYS CLARK,785-776-0065,US
USA-KS-91-KS-All-output-150,STRATFORD COMMONS MEMORY CARE COMMUNITY,N046045,Assisted Living Facility,12340 QUIVIRA ROAD,OVERLAND PARK,JOHNSON,KS,66213-2408,LAURA TENPENNY,913-851-0215,US
USA-KS-91-KS-All-output-151,SUNRISE ASSISTED LIVING OF LEAWOOD,N046072,Assisted Living Facility; Residential Health Care Facility,11661 GRANADA AVENUE,LEAWOOD,JOHNSON,KS,66211,DEVIN ALLRED,913-906-0200,US
USA-KS-91-KS-All-output-152,SUNRISE ASSISTED LIVING OF LENEXA,N046071,Assisted Living Facility; Residential Health Care Facility,15055 W. 87TH STREET PARKWAY,LENEXA,JOHNSON,KS,66215,BENJAMIN ROSS,913-307-0665,US
USA-KS-91-KS-All-output-153,SUNRISE ASSISTED LIVING OF OVERLAND PARK,N046074,Assisted Living Facility; Residential Health Care Facility,12500 W. 135TH STREET,OVERLAND PARK,JOHNSON,KS,66221,AMY WRIGHT,913-685-3340,US
USA-KS-91-KS-All-output-154,SUNSET HOME INC,N015006,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,620 2ND AVENUE,CONCORDIA,CLOUD,KS,66901-2727,TERESA SHORE,785-243-2720,US
USA-KS-91-KS-All-output-155,TALLGRASS CREEK INC,N046088,Nursing Facility; Residential Health Care Facility; Assisted Living Facility,13760 METCALF AVENUE,OVERLAND PARK,JOHNSON,KS,66223,PAMELA L HAMAN,913-945-2004,US
USA-KS-91-KS-All-output-156,THE CEDARS,N059009,Nursing Facility; Assisted Living Facility,1021 CEDARS DR,MCPHERSON,MCPHERSON,KS,67460-2735,CARMA WALL,620-241-0919,US
USA-KS-91-KS-All-output-157,THE GABLES AT OVERLAND PARK,N046068,Assisted Living Facility,11701 NIEMAN ROAD,OVERLAND PARK,JOHNSON,KS,66210-4310,KATHY WILCOX,913-345-2200,US
USA-KS-91-KS-All-output-158,THE HOMESTEAD OF AUBURN,N089042,Assisted Living Facility,280 E VALLEY SPRINGS DR,AUBURN,SHAWNEE,KS,66402-,LESLEY MUETING,785-256-7100,US
USA-KS-91-KS-All-output-159,THE HOMESTEAD OF GARDEN CITY,N028003,Assisted Living Facility,2414 N HENDERSON DR,GARDEN CITY,FINNEY,KS,67846-,TIMOTHY D WHITE,620-272-9800,US
USA-KS-91-KS-All-output-160,THE HOMESTEAD OF HALSTEAD,N040008,Assisted Living Facility,715 W 6TH ST,HALSTEAD,HARVEY,KS,67056-,RODNEY HALEY,316-830-2424,US
USA-KS-91-KS-All-output-161,THE HOMESTEAD OF LEAVENWORTH,N052006,Assisted Living Facility,5150 HUGHES RD,LEAVENWORTH,LEAVENWORTH,KS,66048-5022,KELLI JO DAVISON,913-727-9600,US
USA-KS-91-KS-All-output-162,THE HOMESTEAD OF LEAWOOD,N046039,Assisted Living Facility,12720 STATELINE RD,LEAWOOD,JOHNSON,KS,66209-1619,KIMBERLY KAY GRANT,913-663-3351,US
USA-KS-91-KS-All-output-163,THE HOMESTEAD OF LENEXA,N046043,Assisted Living Facility,8740 CAENEN LAKE RD,LENEXA,JOHNSON,KS,66215-,DEBBIE BECKFORD,913-894-0014,US
USA-KS-91-KS-All-output-164,THE HOMESTEAD OF MANHATTAN,N081006,Assisted Living Facility,1923 LITTLE KITTEN AVE,MANHATTAN,RILEY,KS,66502-7545,TERRI PARR,785-776-1772,US
USA-KS-91-KS-All-output-165,THE HOMESTEAD OF OLATHE NORTH,N046040,Assisted Living Facility,791 N SOMERSET TERRACE,OLATHE,JOHNSON,KS,66062,KARLY BLACK,913-829-1403,US
USA-KS-91-KS-All-output-166,THE HOMESTEAD OF OLATHE SOUTH,N046038,Assisted Living Facility,751 N SOMERSET TERR,OLATHE,JOHNSON,KS,66062-5450,AMANDA SAUNDERS,913-829-4663,US
USA-KS-91-KS-All-output-167,THE HOMESTEAD OF TOPEKA,N089035,Assisted Living Facility,5820 SW DRURY LN,TOPEKA,SHAWNEE,KS,66604-2262,SUSAN BULLOCK,785-272-2200,US
USA-KS-91-KS-All-output-168,THE HOMESTEAD OF WICHITA,N087042,Assisted Living Facility,12221 W. MAPLE STREET,WICHITA,SEDGWICK,KS,67235,VICKY NOLL,316-729-2400,US
USA-KS-91-KS-All-output-169,THE LEGACY AT PARK VIEW,N034001,Nursing Facility; Assisted Living Facility,510 E. SAN JACINTO AVENUE,ULYSSES,GRANT,KS,67880-1899,KIMBERLE B DOTY,620-356-3331,US
USA-KS-91-KS-All-output-170,THE MEADOWS,N016003,Assisted Living Facility,1201 MARTINDALE ST,BURLINGTON,COFFEY,KS,66839-2400,LANA BAHR,620-364-8861,US
USA-KS-91-KS-All-output-171,THE OXFORD GRAND,N087075,Assisted Living Facility,3051 N. PARKDALE CIRCLE,WICHITA,SEDGWICK,KS,67205,IRIS TURNER,316-927-2007,US
USA-KS-91-KS-All-output-172,THE PIPER,N105018,Assisted Living Facility; Residential Health Care Facility,2300 N. 113TH TERRACE,KANSAS CITY,WYANDOTTE,KS,66109,MICHELLE NICHOLS,913-400-7006,US
USA-KS-91-KS-All-output-173,THE PLAZA HEALTH SERVICES AT SANTA MARTA,N046075,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,13875 W. 115TH TERRACE,OLATHE,JOHNSON,KS,66062-7833,DOUGLAS W FRIHART,913-906-0990,US
USA-KS-91-KS-All-output-174,THE SHERIDAN AT OVERLAND PARK,N046102,Assisted Living Facility; Residential Health Care Facility,10300 INDIAN CREEK PARKWAY,OVERLAND PARK,JOHNSON,KS,66210,AMIEE SECK,913-232-8232,US
USA-KS-91-KS-All-output-175,THE WINDSOR OF LAWRENCE,N023017,Assisted Living Facility,3220 PETERSON RD,LAWRENCE,DOUGLAS,KS,66049-1942,KAREN HALBERT,785-832-9900,US
USA-KS-91-KS-All-output-176,TOP CITY HEALTHCARE INC,N089065,Nursing Facility; Assisted Living Facility,6300 SW 6TH AVENUE,TOPEKA,SHAWNEE,KS,66615,BRETT COOK,785-272-2124,US
USA-KS-91-KS-All-output-177,TREGO LEMKE ASSISTED LIVING,N098002,Assisted Living Facility,303 N 14TH ST,WAKEENEY,TREGO,KS,67672 2002,STACI WEIGEL,785-743-2182,US
USA-KS-91-KS-All-output-178,TWIN OAKS ASSISTED LIVING,N052007,Assisted Living Facility,657 EISENHOWER,LANSING,LEAVENWORTH,KS,66043-1913,STEPHEN M PARROTT,913-727-6100,US
USA-KS-91-KS-All-output-179,TWO TRAILS HEALTHCARE INC,N046092,Nursing Facility; Assisted Living Facility,21250 W 151ST STREET,OLATHE,JOHNSON,KS,66051-0768,HAYLEY WISNIESKI,913-390-0444,US
USA-KS-91-KS-All-output-180,VIA CHRISTI VILLAGE GEORGETOWN INC,N087051,Assisted Living Facility,1655 GEORGETOWN ST,WICHITA,SEDGWICK,KS,67218-4120,BETHANY LELAND,316-685-0400,US
USA-KS-91-KS-All-output-181,VIA CHRISTI VILLAGE MANHATTAN INC,N081001,Nursing Facility; Assisted Living Facility,2800 WILLOW GROVE RD,MANHATTAN,RILEY,KS,66502-2096,CHEYENNE J. STRUNK,785-539-7671,US
USA-KS-91-KS-All-output-182,VIA CHRISTI VILLAGE MCLEAN INC,N087056,Nursing Facility; Assisted Living Facility,777 N MCLEAN BLVD,WICHITA,SEDGWICK,KS,67203-4980,COURTNEY WOLFE,316-942-7000,US
USA-KS-91-KS-All-output-183,VIA CHRISTI VILLAGE PITTSBURG,N019013,Nursing Facility; Assisted Living Facility,1502 E CENTENNIAL STREET,PITTSBURG,CRAWFORD,KS,66762,DANA P. DUGGER,620-235-0020,US
USA-KS-91-KS-All-output-184,VIA CHRISTI VILLAGE RIDGE,N087057,Nursing Facility; Assisted Living Facility,"3636 NORTH RIDGE ROAD, BLDG #400",WICHITA,SEDGWICK,KS,67205,DAVID KARLIN,316-462-3636,US
USA-KS-91-KS-All-output-185,VICTORIA FALLS ASSISTED LIVING,N008011,Assisted Living Facility,408 E CENTRAL PO BOX 906,ANDOVER,BUTLER,KS,67002-,THOMAS M BRODERICK,316-733-0334,US
USA-KS-91-KS-All-output-186,VICTORY HILLS SENIOR LIVING COMMUNITY,N105015,Assisted Living Facility,1900 N 70TH,KANSAS CITY,WYANDOTTE,KS,66102-,JARED PILSL,913-299-1166,US
USA-KS-91-KS-All-output-187,VILLAGE ESTATES,N044004,Assisted Living Facility,PO BOX 346,NORTONVILLE,JEFFERSON,KS,66060-346,SWEDE SWAGERTY,913-886-6400,US
USA-KS-91-KS-All-output-188,VILLAGE SHALOM INC,N046054,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,5500 W 123RD STREET,OVERLAND PARK,JOHNSON,KS,66209,MATTHEW LEWIS,913-317-2600,US
USA-KS-91-KS-All-output-189,VINTAGE PARK AT ATCHISON,N003005,Assisted Living Facility,1301 N 4TH,ATCHISON,ATCHISON,KS,66002,CHANTAL WILBURN,913-367-2655,US
USA-KS-91-KS-All-output-190,VINTAGE PARK AT BALDWIN CITY,N023018,Assisted Living Facility,321 CRIMSON AVENUE,BALDWIN CITY,DOUGLAS,KS,66006,ROBERT RUSSELL,785-594-4255,US
USA-KS-91-KS-All-output-191,VINTAGE PARK AT EUREKA,N037005,Assisted Living Facility,1820 E. RIVER STREET,EUREKA,GREENWOOD,KS,67045-2156,DELLA BLESSIE,620-583-7473,US
USA-KS-91-KS-All-output-192,VINTAGE PARK AT GARDNER,N046055,Assisted Living Facility,869 JUNIPER TERRACE,GARDNER,JOHNSON,KS,66030,CALEB GAYLORD,913-856-7643,US
USA-KS-91-KS-All-output-193,VINTAGE PARK AT HIAWATHA,N007006,Assisted Living Facility,400 KANSAS AVENUE,HIAWATHA,BROWN,KS,66434,JANELLE DICKINSON,785-742-4566,US
USA-KS-91-KS-All-output-194,VINTAGE PARK AT HOLTON,N043004,Assisted Living Facility,410 JUNIPER DRIVE,HOLTON,JACKSON,KS,66436,MEGAN OLSON,785-364-5051,US
USA-KS-91-KS-All-output-195,VINTAGE PARK AT LENEXA,N046037,Assisted Living Facility,8710 CAENEN LAKE ROAD,LENEXA,JOHNSON,KS,66215-2069,LAKISHA WILLIAMS,913-894-6979,US
USA-KS-91-KS-All-output-196,VINTAGE PARK AT LOUISBURG,N061008,Assisted Living Facility,202 S. ROGERS RD,LOUISBURG,MIAMI,KS,66053,SHONNA LOONEY,913-837-5133,US
USA-KS-91-KS-All-output-197,VINTAGE PARK AT OSAGE CITY,N070006,Assisted Living Facility,1403 LAING STREET,OSAGE CITY,OSAGE,KS,66067,JODI A. SMITH,785-528-5095,US
USA-KS-91-KS-All-output-198,VINTAGE PARK AT OSAWATOMIE,N061009,Assisted Living Facility,1520 PARKER AVENUE,OSAWATOMIE,MIAMI,KS,66064,CARMEN BEHM,913-755-2167,US
USA-KS-91-KS-All-output-199,VINTAGE PARK AT OTTAWA,N030008,Assisted Living Facility,2250 S. ELM STREET,OTTAWA,FRANKLIN,KS,66067,TINA CARUTHERS,785-242-3715,US
USA-KS-91-KS-All-output-200,VINTAGE PARK AT PAOLA,N061010,Assisted Living Facility,601 N. EAST STREET,PAOLA,MIAMI,KS,66071-1183,CHERYL HOPKINS,913-557-0202,US
USA-KS-91-KS-All-output-201,VINTAGE PARK AT STANLEY,N046069,Assisted Living Facility,14430 METCALF AVENUE,OVERLAND PARK,JOHNSON,KS,66223-2989,JESSICA BRADHAM,913-897-1414,US
USA-KS-91-KS-All-output-202,VINTAGE PARK AT TONGANOXIE,N052008,Assisted Living Facility,120 W. 8TH STREET,TONGANOXIE,LEAVENWORTH,KS,66086,MICHAEL SHOEMAKER,913-845-2204,US
USA-KS-91-KS-All-output-203,VINTAGE PARK AT WAMEGO,N075006,Assisted Living Facility,1607 4TH STREET,WAMEGO,POTTAWATOMIE,KS,66547,JENNIFER PAYTON,785-456-8997,US
USA-KS-91-KS-All-output-204,VINTAGE PARK AT WATERFRONT,N087039,Assisted Living Facility,900 N. BAYSHORE DRIVE,WICHITA,SEDGWICK,KS,67212,CRYSTAL RICH,316-945-3344,US
USA-KS-91-KS-All-output-205,WAKEFIELD CARE & REHABILITATION CENTER LLC,N014003,Nursing Facility; Assisted Living Facility,509 GROVE STREET,WAKEFIELD,CLAY,KS,67487,GLENDA DOWNING,785-461-5417,US
USA-KS-91-KS-All-output-206,WALDRON PLACE,N078016,Assisted Living Facility,1700 E 23RD,HUTCHINSON,RENO,KS,67502-,WILLIAM B. GAULT,620-662-4114,US
USA-KS-91-KS-All-output-207,WALLACE COUNTY COMMUNITY CARE CENTER INC,N100001C,Nursing Facility; Residential Health Care Facility; Assisted Living Facility,608 N KENNEDY,SHARON SPRINGS,WALLACE,KS,677589762,RENAE KERSENBROCK,785-852-4244,US
USA-KS-91-KS-All-output-208,WELLSVILLE MANOR,N030004,Nursing Facility; Assisted Living Facility,304 W 7TH ST,WELLSVILLE,FRANKLIN,KS,66092-7800,SCOTT AVERILL,785-883-4101,US
USA-KS-91-KS-All-output-209,WESLEY TOWERS INC,N078010,Nursing Facility; Assisted Living Facility,700 MONTEREY PL,HUTCHINSON,RENO,KS,67502-2248,JUDITH WINELAND,620-663-9175,US
USA-KS-91-KS-All-output-210,WESTRIDGE,N019011,Assisted Living Facility,950 W ST JOHN ST,GIRARD,CRAWFORD,KS,66743-,KATHRYN NELSON,620-724-6760,US
USA-KS-91-KS-All-output-211,WESTY COMMUNITY CARE HOME INC,N075005,Nursing Facility; Assisted Living Facility,105 N HIGHWAY 99,WESTMORELAND,POTTAWATOMIE,KS,66549-,SARAH N EISENBARTH,785-457-2801,US
USA-KS-91-KS-All-output-212,WHEAT RIDGE ACRES ASSISTED LIVING,N091002,Assisted Living Facility; Residential Health Care Facility,707 WHEAT RIDGE CIRCLE,GOODLAND,SHERMAN,KS,67735,JUDY GOODWIN,785-899-0100,US
USA-KS-91-KS-All-output-213,WHISPERING PINES,N069010,Assisted Living Facility,200 WHISPERING PINES,NORTON,NORTON,KS,67654-,ROBERT STEPHENSON,785-874-5500,US
USA-KS-91-KS-All-output-214,WICHITA PRESBYTERIAN MANOR,N087023,Nursing Facility; Residential Health Care Facility; Assisted Living Facility,4700 W. 13TH STREET NORTH,WICHITA,SEDGWICK,KS,67212-5599,BRADLEY S RADATZ,316-942-7456,US
USA-KS-91-KS-All-output-215,WINFIELD SENIOR LIVING COMMUNITY,N018006,Nursing Facility; Assisted Living Facility,1320 WHEAT ROAD,WINFIELD,COWLEY,KS,67156-4704,LAURA LACHMAN,620-221-4660,US
USA-KS-91-KS-All-output-216,WOODRIDGE ESTATES,N050011,Assisted Living Facility,329 N KAY LANE,PARSONS,LABETTE,KS,67357,MADALINE SHOCKEY,620-421-4700,US
