row_id,LICENSE #,NAME,Facility Type,ADDRESS,CITY,ZIP,COUNTY,OWNER,ADM FIRST,ADM LAST,TELEPHONE,BEDS,LICENSE EXPIRATION,Country
USA-KY-92-KY-NursingHome-personal_care_home-1,100030,ARTRIPS PERSONAL CARE HOME,Personal Care Home,3000 CENTRAL AVENUE,ASHLAND,41101,BOYD,"ARTRIP HEALTH CARE, INC.",MAGGIE,ARTRIP,(606) 325-3244,22,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-2,100145,AUTUMN RIDGE PERSONAL CARE,Personal Care Home,4880 STATE ROUTE 121 SOUTH,MAYFIELD,42066,GRAVES,"AUTUMN RIDGE PERSONAL CARE HOME, LLC",TINA,PAGE-PAINTER,(270) 345-2116,24,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-3,100932,BARTON HOUSE OF LOUISVILLE #1,Personal Care Home,6830 OVERLOOK DR,LOUISVILLE,40241,JEFFERSON,"ST. MATTHEWS SENIOR LIVING, LLC",AMY,CLARK,(502) 423-7177,20,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-4,100891,BELMONT VILLAGE,Personal Care Home,4600 BOWLING BOULEVARD,LOUISVILLE,40207,JEFFERSON,BELMONT VILLAGE LIMITED PARTNERSHIP,THEODORE,BURFICT,(502) 721-7500,128,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-5,100398,"BETTER SENIOR LIVING, LLC",Personal Care Home,66 SHELBY STREET,CADIZ,42211,TRIGG,"BETTER SENIOR LIVING, LLC",ANTOINETTE,LLANES,(270) 522-3711,68,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-6,100087,"BISHOP SOENNEKER HOME, INC",Personal Care Home,9545 KY 144,PHILPOT,42366,DAVIESS,"BISHOP SOENNEKER HOME, INC.",PAULA,HAZEL,(270) 281-4881,66,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-7,101175,BRIDGEPOINTE AT ASHGROVE WOODS,Personal Care Home,5220 GREY OAK LANE,NICHOLASVILLE,40356,JESSAMINE,"CHRISTIAN CARE SERVICES, INC.",POLLY,WEST,(502) 254-4200,78,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-8,100947,BROOKDALE BLANKENBAKER,Personal Care Home,901 BLANKENBAKER ROAD,MIDDLETOWN,40243,JEFFERSON,"HBP LEASECO, LLC",CAMILLE,BEESON,(502) 244-4244,99,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-9,100903,BROOKDALE EDGEWOOD,Personal Care Home,2950 TURKEYFOOT ROAD,EDGEWOOD,41017,KENTON,"S-H OPCO EDGEWOOD, LLC",JEANNETTE,BREDESTEGE,(859) 426-1888,113,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-10,100553,BROOKDALE RICHMOND PLACE,Personal Care Home,3195 RIO DOSA DRIVE,LEXINGTON,40509,FAYETTE,"ARC RICHMOND PLACE, INC.",ANN,PHILLIPS,(859) 263-2410,81,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-11,101104,BROOKDALE STONESTREET,Personal Care Home,9251 STONESTREET ROAD,LOUISVILLE,40272,JEFFERSON,EMERITUS CORPORATION,CLIFTON,LAKE,(502) 935-5884,20,7/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-12,100687,CANEY CREEK REHABILITATION COMPLEX,Personal Care Home,6870 HIGHWAY 899,PIPPA PASSES,41844,KNOTT,COMMONWEALTH OF KENTUCKY/CHFS,SONYA,MELTON,(606) 368-2802,40,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-13,100432,CARROLLTON MANOR,Personal Care Home,205 FIFTH STREET,CARROLLTON,41008,CARROLL,"CARROLLTON MANOR, INC.",MELISSA,TUCKER,(502) 732-5528,32,12/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-14,101181,"CENTRAL KENTUCKY RECOVERY CENTER, UNIT 1",Personal Care Home,1358 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,JENNIFER,SMITH,(859) 246-8620,16,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-15,101182,"CENTRAL KY RECOVERY CENTER, UNIT 2",Personal Care Home,1366 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,JENNIFER,SMITH,(859) 246-8600,16,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-16,100064,"CHRISTIAN COUNTY MANOR, LLC",Personal Care Home,2820 RICHARD STREET,HOPKINSVILLE,42240,CHRISTIAN,"CHRISTIAN COUNTY MANOR, LLC",KIMBERLY,TAYLOR,(270) 886-9900,78,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-17,101273,CLARITY POINTE LOUISVILLE,Personal Care Home,13700 ENGLISH VILLA DRIVE,LOUISVILLE,40245,JEFFERSON,"BCDC BP LOU, LLC",KATHY,WIEDERHOLD,(865) 742-9234,60,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-18,100945,COLONIAL GARDENS,Personal Care Home,6910 HOPEFUL ROAD,FLORENCE,41042,BOONE,"BLUEGRASS RHF HOUSING, INC.",KEN,KASER,(859) 525-6900,80,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-19,100382,COLONIAL HALL MANOR,Personal Care Home,920 HENRY CLAY STREET,SHELBYVILLE,40065,SHELBY,"COLONIAL HALL MANOR, INC.",JESSICA,RITTER,(502) 633-4762,57,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-20,100044,COLONIAL HOUSE OF SHEPHERDSVILLE,Personal Care Home,1516 EAST HIGHWAY 44E,SHEPHERDSVILLE,40165,BULLITT,"RANSDALL & ROYALTY, INC.",ROBIN,PETTY,(502) 543-7042,62,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-21,100007,"CORNERSTONE MANOR, LLC",Personal Care Home,515 WATER STREET SEE NOTES FOR MAILING,SCOTTSVILLE,42164,ALLEN,"CORNERSTONE MANOR, LLC",WANDA,MEADOR,(270) 237-3485,36,8/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-22,100267,COVINGTON LADIES HOME,Personal Care Home,702 GARRARD STREET,COVINGTON,41011,KENTON,"COVINGTON LADIES HOME, INC.",JANET,BORTON,(859) 431-6913,32,1/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-23,100370,CRESTVIEW PERSONAL CARE HOME,Personal Care Home,235 SOUTH RICHARDSON DRIVE,SOMERSET,42501,PULASKI,"THE PATARY, INC.",MELISSA,CREEKMORE,(606) 678-8927,30,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-24,100314PC,CUMBERLAND MANOR REST HOME,Personal Care Home,1930 HIGHWAY 90,PARKERS LAKE,42634,MCCREARY,"CUMBERLAND MANOR REST HOME, INC.",ROSETTA,PATRICK,(606) 376-5951,49,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-25,100084,"DAVCO REST HOME, LLC",Personal Care Home,2526 WEST 10TH STREET,OWENSBORO,42301,DAVIESS,"DAVCO REST HOME, LLC.",STACEY,HELTON,(270) 684-1705,92,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-26,100413,DISHMAN PERSONAL CARE HOME,Personal Care Home,220 WORSHAM LANE,MONTICELLO,42633,WAYNE,CHRISTINE GOFF,CHRISTINE,GOFF,(606) 348-6201,49,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-27,100361,FALMOUTH NURSING HOME,Personal Care Home,406 BARKLEY STREET,FALMOUTH,41040,PENDLETON,"LEWIN FACILITIES MANAGEMENT, LLC",TRACY,WINKLE,(859) 654-4341,27,2/28/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-28,100403,"FERN TERRACE OF BOWLING GREEN, LLC",Personal Care Home,1030 SHIVE LANE,BOWLING GREEN,42101,WARREN,"DAVCO HOMES, INC.",VALERIE,CARTER,(270) 781-6784,114,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-29,100148,"FERN TERRACE OF MAYFIELD, LLC",Personal Care Home,1227 STATE ROUTE 45 NORTH,MAYFIELD,42066,GRAVES,"DAVCO HOMES, INC.",KIMBERLY,YOUNG,(270) 247-3259,140,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-30,100052,"FERN TERRACE OF MURRAY, LLC",Personal Care Home,1505 STADIUM VIEW DRIVE,MURRAY,42071,CALLOWAY,"DAVCO HOMES, INC.",KAREN,GLOVER,(270) 753-7109,103,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-31,100096,"FERN TERRACE OF OWENSBORO, LLC",Personal Care Home,45 WOODFORD AVENUE,OWENSBORO,42301,DAVIESS,"DAVCO HOMES, INC.",SHIRLEY,CARRICO,(270) 684-7171,68,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-32,101270,FOREST HILLS COMMONS,Personal Care Home,9107 TAYLORSVILLE ROAD,LOUISVILLE,40299,JEFFERSON,RESIDENTIAL CARE XII LLC,DAVID MILES,BURKHOLDER II,(502) 499-5533,144,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-33,100155,"FRASURE'S PERSONAL CARE HOME, INC",Personal Care Home,1308 RIVERVIEW ROAD,ASHLAND,41101,BOYD,"FRASURE'S PERSONAL CARE HOME, INC.",VALERIE,FRASURE,(606) 836-7095,61,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-34,100066,GAINSVILLE MANOR,Personal Care Home,550 MOORES DRIVE,HOPKINSVILLE,42241,CHRISTIAN,"VAUGHT AND SEAVER PROPERTIES, LLC",MICHAEL,VAUGHT,(270) 886-0258,102,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-35,100887,GAITHER SUITES AT WEST PARK,Personal Care Home,4960 VILLAGE SQUARE DRIVE,PADUCAH,42001,MCCRACKEN,"GAITHER SUITES AT WEST PARK, LLC.",JENNIFER,GISH,(270) 442-3999,29,7/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-36,101231,GARDENS AT HICKORY WOODS,Personal Care Home,84 UTTERBACK ROAD,MURRAY,42071,CALLOWAY,"MURRAY SENIOR LIVING, LLC",ANNITA,PEELER,(270) 759-8700,22,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-37,100021,GENERATIONS CENTER OF MIDDLESBORO,Personal Care Home,504 SOUTH 24TH STREET,MIDDLESBORO,40965,BELL,"GENERATIONS HEALTH ASSOCIATION, INC.",ELIZABETH,ENGLAND,(606) 248-1540,64,8/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-38,100274,GOLDEN YEARS REST HOME,Personal Care Home,14684 EAST HIGHWAY 550,LACKEY,41643,FLOYD,"GOLDEN YEARS HEALTHCARE, LLC",BONNIE,MOSLEY,(606) 946-2220,84,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-39,100033,HAMILTON'S PCH,Personal Care Home,250 WEST CENTRAL AVENUE,ASHLAND,41101,BOYD,"HAMILTON'S PERSONAL CARE HOME, INC.",JAMES,HAMILTON,(606) 324-3252,22,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-40,100336,HARPER'S HOME FOR THE AGED,Personal Care Home,2905 COLUMBIA ROAD,EDMONTON,42129,METCALFE,"HARPER'S HOME FOR THE AGED, INC.",CARY,DABNEY,(502) 742-3895,27,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-41,100172,HART COUNTY MANOR,Personal Care Home,205 BRIDGE STREET,MUNFORDVILLE,42765,HART,"HART COUNTY MANOR, LLC",JENNY,STAPLES,(270) 524-7327,54,10/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-42,101164,HEARTSONG MEMORY CARE,Personal Care Home,9260 STONESTREET ROAD,LOUISVILLE,40272,JEFFERSON,"TIGER LILY, LLC",SHEILA,CARTER,(502) 935-3300,36,8/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-43,100174,HENDERSON MANOR,Personal Care Home,201 WATSON LANE,HENDERSON,42420,HENDERSON,"MDH MANAGEMENT GROUP, INC.",KAREN,WILSON,(270) 826-2394,64,Pending Renewal,US
USA-KY-92-KY-NursingHome-personal_care_home-44,100050,HIGHLAND HOMES,Personal Care Home,219 STEVENS AVENUE,PRINCETON,42445,CALDWELL,"HIGHLAND HOMES, INC.",LUCRETIA,FAUGHN,(270) 365-3254,100,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-45,100935,IVY KNOLL,Personal Care Home,800 HIGHLAND AVENUE,COVINGTON,41011,KENTON,"NORTHERN KENTUCKY ASSISTED LIVING, LLC",SAMUEL,CUNNINGHAM,(859) 491-3800,45,12/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-46,100140,JONESVILLE REST HOME,Personal Care Home,230 SCHOOL ROAD,JONESVILLE,41052,GRANT,"JONESVILLE REST HOME, INC.",SHANNON,DALTON,(859) 824-4610,26,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-47,100032,KINGS DAUGHTERS AND SONS HOME,Personal Care Home,1100 BATH AVENUE,ASHLAND,41101,BOYD,KINGS' DAUGHTERS' & SONS' HOME FOR AGED MEN & WOME,STEVE,PERRY,(606) 324-0343,36,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-48,100390,LEWIS MEMORIAL METHODIST HOME,Personal Care Home,2905 BOWLING GREEN ROAD,FRANKLIN,42134,SIMPSON,"LEWIS MEMORIAL, INC.",VICKI,TYLER,(270) 586-3461,23,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-49,100653,MAYFAIR VILLAGE RETIREMENT CENTER,Personal Care Home,3310 TATES CREEK ROAD,LEXINGTON,40502,FAYETTE,"MAYFAIR VILLAGE RETIREMENT CENTER, INC.",SHARON,DAVIS,(859) 266-2129,24,12/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-50,100901,MCDOWELL PLACE OF DANVILLE,Personal Care Home,1181 BEN ALI DRIVE,DANVILLE,40422,BOYLE,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,SUSAN,MATHERLY,(859) 239-4663,12,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-51,101087,MORNING POINTE OF FRANKFORT,Personal Care Home,851 CARDWELL LANE,FRANKFORT,40601,FRANKLIN,"FRANKFORT SENIOR COMMUNITY, L.P.",MELISSA,CHAMBERS,(502) 226-5888,48,8/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-52,101137,MORNING POINTE OF LEXINGTON,Personal Care Home,233 RUCCIO WAY,LEXINGTON,40503,FAYETTE,"SENIOR CARE ASSOCIATES, LLC",KRISTI,PETERS,(423) 238-5330,80,2/28/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-53,101172,MORNING POINTE OF LEXINGTON EAST,Personal Care Home,150 SHORESIDE DRIVE,LEXINGTON,40515,FAYETTE,"LEXINGTON EAST MEDICAL INVESTORS, LLC",LISA,CHAPPELL,(423) 238-5330,80,Pending Renewal,US
USA-KY-92-KY-NursingHome-personal_care_home-54,101086,MORNING POINTE OF RICHMOND,Personal Care Home,1400 GIBSON BAY DRIVE,RICHMOND,40475,MADISON,"RICHMOND SENIOR COMMUNITY, LP",NETZA,MULLINS,(859) 626-5000,48,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-55,101057,MORNING POINTE OF RUSSELL,Personal Care Home,1000 ADDINGTON DRIVE,RUSSELL,41169,GREENUP,RUSSELL SENIOR COMMUNITY LLC,WANDA,PARKER,(606) 833-1120,68,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-56,100922,PARK LOUISVILLE,Personal Care Home,10451 LINN STATION ROAD,LOUISVILLE,40223,JEFFERSON,"MW LOUISVILLE OPERATING, LLC",AMANDA,ROSENGARN,(502) 423-8776,64,7/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-57,100168,PARKSIDE MANOR LLC,Personal Care Home,317 ODDVILLE AVENUE,CYNTHIANA,41031,HARRISON,"PARKSIDE MANOR, LLC",KELLI,BAILEY,(859) 234-4430,51,10/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-58,100240,PARR'S REST HOME,Personal Care Home,3101 NORTH HURSTBOURNE PARKWAY,LOUISVILLE,40241,JEFFERSON,"BAPTIST HOMES--PARR'S REST, INC.",JILL,PHILLIPS,(502) 412-3775,91,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-59,100071,PENNYRILE HOME,Personal Care Home,502 NOEL AVENUE,HOPKINSVILLE,42240,CHRISTIAN,"PENNYRILE HOME, INC.",PHYLLIS,BURKE,(270) 886-9915,94,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-60,101271,PROVISION LIVING AT BEAUMONT CENTRE,Personal Care Home,1165 MONARCH STREET,LEXINGTON,40513,FAYETTE,"PVL AT BEAUMONT CIRCLE, LLC",EMILY,ABNER,(859) 687-6587,0,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-61,100264,REGENCY MANOR,Personal Care Home,11725 MADISON PIKE,INDEPENDENCE,41051,KENTON,"REGENCY MANOR, LLC",KELLI,BAILEY,(859) 356-9294,59,7/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-62,101116,REGENCY MANOR NORTH,Personal Care Home,"401 EAST 2OTH STREET, 2ND FLOOR",COVINGTON,41011,KENTON,"REGENCY MANOR NORTH, LLC",KELLI,BAILEY,(859) 291-3200,30,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-63,100259,ROSE TERRACE LODGE,Personal Care Home,401 NORTH SECOND STREET,NICHOLASVILLE,40356,JESSAMINE,"ROSE TERRACE LODGE, INC.",JENNIFER,HOLLAND,(859) 885-3821,40,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-64,100095,ROSEDALE REST HOME,Personal Care Home,415 SUTTON LANE,OWENSBORO,42301,DAVIESS,"MDH MANAGEMENT GROUP, INC.",TIFFANY,JOHNSON,(270) 684-6753,50,Pending Renewal,US
USA-KY-92-KY-NursingHome-personal_care_home-65,100460,RUSSELL CONVALESCENT HOME,Personal Care Home,407 FERRY ROAD,RUSSELL,41169,GREENUP,OSCAR B. BAUMGARDNER,TERESA,BAUMGARDNER,(606) 836-5616,28,Pending Renewal,US
USA-KY-92-KY-NursingHome-personal_care_home-66,100009,SCOTTSVILLE MANOR,Personal Care Home,824 NORTH FOURTH,SCOTTSVILLE,42164,ALLEN,"SCOTTSVILLE MANOR, INC.",LESA,KEEN,(270) 237-5182,40,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-67,100170,SHADY LAWN LLC,Personal Care Home,108 S MILLER STREET,CYNTHIANA,41031,HARRISON,KELLI AND CHALLIE BAILEY,KELLI,BAILEY,(859) 234-2606,75,10/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-68,100369,SOMERVIEW PERSONAL CARE HOME,Personal Care Home,202 NORTH MAIN STREET,SOMERSET,42502,PULASKI,"SOMERVIEW PERSONAL CARE HOME, INC.",MELISSA,CREEKMORE,(606) 678-0440,50,12/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-69,100346,SPARKS NURSING CENTER,Personal Care Home,500 EAST WHITMER STREET,CENTRAL CITY,42330,MUHLENBERG,"SPARKS NURSING CENTER, INC.",LULA,WADE,(270) 754-4838,88,2/28/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-70,101185,"ST CHARLES CARE CENTER, INC",Personal Care Home,610 FARRELL DRIVE,COVINGTON,41011,KENTON,"ST. CHARLES CARE CENTER, INC.",KAREN,SMITH,(859) 331-3224,32,2/28/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-71,100315,SUNNY ACRES,Personal Care Home,426 HIGHWAY 81 NORTH,CALHOUN,42327,MCLEAN,"J.R.F., INC.",MARK,HUMPHREY,(270) 273-3113,32,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-72,101074,SUNRISE OF LOUISVILLE,Personal Care Home,6700 OVERLOOK DRIVE,LOUISVILLE,40241,JEFFERSON,"SUNRISE LOUISVILLE KY SENIOR LIVING, LLC",BRANDIE,WINDSOR,(502) 425-0820,94,1/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-73,100010,SUNSET HILL PERSONAL CARE HOME,Personal Care Home,1428 TYRONE ROAD,LAWRENCEBURG,40342,ANDERSON,EARL RAY AND MILDRED GOODLETT,MILDRED,GOODLETT,(502) 839-4835,16,1/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-74,101153,SYMPHONY AT OAKLAWN,Personal Care Home,100 SHELBY STATION DRIVE,LOUISVILLE,40245,JEFFERSON,"SHELBY STATION SENIOR CARE, LLC",SHAUNA,DARBYSHIRE,(502) 208-2906,102,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-75,100873,THE BRECKINRIDGE,Personal Care Home,2109 CORNERSTONE DRIVE,LEXINGTON,40509,FAYETTE,"SOUTHERN COALITION OF HOUSING OPPORTUNITIES, INC.",ELLEN,FIDLER,(859) 543-0824,26,1/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-76,100360,"THE FRONT GATE, LLC",Personal Care Home,213 MAIN STREET,BUTLER,41006,PENDLETON,"THE FRONT GATE, LLC",RHONDA,BOTHMAN,(859) 472-6011,19,2/28/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-77,101268,THE HAVEN AT MASSEY SPRINGS,Personal Care Home,2945 SMALLHOUSE ROAD,BOWLING GREEN,42104,WARREN,"BOWLING GREEN SENIOR LIVING, LLC",GARY,KECKLEY,(615) 790-7041,0,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-78,100182,THE HOMESTEAD,Personal Care Home,384 THOMPSON AVENUE,MADISONVILLE,42431,HOPKINS,"M & J MANAGEMENT, LLC",ANDREW,DEMOSS,(270) 821-5294,64,12/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-79,101200,THE LANTERN AT MORNING POINTE ALZ & MEMORY CARE,Personal Care Home,225 RUCCIO WAY,LEXINGTON,40503,FAYETTE,,BRIAN,HENRIOTT,(423) 238-5330,50,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-80,101272,THE LANTERN AT MORNING POINTE ALZHEIMER'S AND MEMO,Personal Care Home,1063 ADDINGTON DR,RUSSELL,41169,GREENUP,"RUSSELL ALZHEIMER'S INVESTORS, LLC",WANDA,PARKER,(423) 238-5330,0,11/28/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-81,101131,THE LANTERN AT MORNING POINTE OF FRANKFORT,Personal Care Home,66 C MICHAEL DAVENPORT BOULEVARD,FRANKFORT,40601,FRANKLIN,"FRANKFORT MEDICAL INVESTORS, LLC",MANDY,TAYLOR,(502) 226-7118,42,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-82,100164,THE LAURELS,Personal Care Home,169 COUNTY PIKE,HARLAN,40831,HARLAN,"THE LAURELS, INC.",DAVID,MULLINS,(606) 573-5105,82,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-83,101180,THE LEGACY AT THE WILLOWS,Personal Care Home,2521 OLD ROSEBUD ROAD,LEXINGTON,40509,FAYETTE,"TRILOGY HEALTHCARE OF FAYETTE 1, LLC",SAMUEL,FRAZIER,(859) 543-0337,25,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-84,100854,THE OAKS PCH/LEWISPORT,Personal Care Home,1580 FOURTH STREET,LEWISPORT,42351,HANCOCK,"THE OAKS PCH/LEWISPORT, LLC",BRENDA,CONNER,(270) 295-4255,56,Pending Renewal,US
USA-KY-92-KY-NursingHome-personal_care_home-85,100190,THE OAKS PCH/MADISONVILLE,Personal Care Home,140 GIVENS STREET,MADISONVILLE,42431,HOPKINS,"THE OAKS PCH/MADISONVILLE, LLC.",DIANE,KEOWN,(270) 821-2155,58,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-86,100469,"THE VILLA AT CHEVY CHASE, LLC",Personal Care Home,319 DUKE ROAD P O BOX 1956,LEXINGTON,40502,FAYETTE,"DUKE ROAD PERSONAL CARE, LLC",SOLOMON,VAN METER,(859) 266-0043,16,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-87,100061,VALLEY HAVEN REST HOME,Personal Care Home,190 MCDANIEL STREET,SANDERS,41083,CARROLL,"VALLEY HAVEN REST HOME, LLC",TAMMIE,HEARN,(502) 347-5300,45,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-88,100261,"VENTURE HOME OF PAINTSVILLE, LLC",Personal Care Home,610 F M STAFFORD AVENUE,PAINTSVILLE,41240,JOHNSON,"VENTURE HOME OF PAINTSVILLE, LLC",SUSAN,LITTON,(606) 789-5576,56,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-89,100291,"WAYNESBURG MANOR, LLC",Personal Care Home,765 HIGHWAY 3276,WAYNESBURG,40489,LINCOLN,WAYNESBURG MANOR LLC,MICHAEL,VAUGHT,(606) 379-2614,28,12/31/2017,US
