row_id,Facility Name,Facility Type,Address1,Address2,City,Zip,State,Phone,Space,Country
USA-KY-93-KY-AssistedLiving-output-1,"Hometown Manor of Lawrenceburg, LLC",Assisted Living,101 Hawkins St.,,Lawrenceburg,40342,KY,(502) 229-5914,12 Units,US
USA-KY-93-KY-AssistedLiving-output-2,New Haven Assisted Living-Kevil,Assisted Living,859 Veterans Ave.,,Kevil,42053,KY,(270) 462-2400,16 Units,US
USA-KY-93-KY-AssistedLiving-output-3,Highland Ridge Assisted Living,Assisted Living,180 Scottie Drive,,Glasgow,42141,KY,(270) 659-2548,56 Units,US
USA-KY-93-KY-AssistedLiving-output-4,Hometown Manor of Glasgow,Assisted Living,201 Trista Lane,,Glasgow,42141,KY,(859) 229-5914,12 Units,US
USA-KY-93-KY-AssistedLiving-output-5,Owingsville Manor ALC,Assisted Living,201 Williams Lane,,Owingsville,40360,KY,(606) 674-2200,38 Units,US
USA-KY-93-KY-AssistedLiving-output-6,Elmcroft of Florence,Assisted Living,212 Main St.,,Florence,41042,KY,(859) 795-0302,100 Units,US
USA-KY-93-KY-AssistedLiving-output-7,Magnolia Springs Florence Senior Living,Assisted Living,7665 Ewing Blvd.,,Florence,41042,KY,(859) 282-1328,111 Units,US
USA-KY-93-KY-AssistedLiving-output-8,Charleston Assisted Living,Assisted Living,203 Bruce Court,,Danville,40422,KY,(859) 236-8906,16 Units,US
USA-KY-93-KY-AssistedLiving-output-9,McDowell Place Of Danville,Assisted Living,1181 Ben Ali Drive,,Danville,40422,KY,(859) 239-4663,84 Units,US
USA-KY-93-KY-AssistedLiving-output-10,"Parkview Manor Assisted Living Community, LLC",Assisted Living,1004 Argyll Woods Drive,,Danville,40422,KY,(859) 236-1557,12 Units,US
USA-KY-93-KY-AssistedLiving-output-11,Elmcroft of Mount Washington,Assisted Living,520 Woodlake Drive,,Mount Washington,40047,KY,(502) 753-6004,68 Units,US
USA-KY-93-KY-AssistedLiving-output-12,New Haven Assisted Living of Princeton,Assisted Living,803 Maple St.,,Princeton,42445,KY,(270) 365-0092,12 Units,US
USA-KY-93-KY-AssistedLiving-output-13,Brookdale Murray,Assisted Living,905 Glendale Road,,Murray,42701,KY,(270) 759-1555,83 Units,US
USA-KY-93-KY-AssistedLiving-output-14,Hickory Woods Retirement Center,Assisted Living,84 Utterback Road,,Murray,42701,KY,(270) 759-8700,44 Units,US
USA-KY-93-KY-AssistedLiving-output-15,Barrington at Fort Thomas,Assisted Living,940 Highland Ave.,,Fort Thomas,41075,KY,(859) 572-0667,108 Units,US
USA-KY-93-KY-AssistedLiving-output-16,Fairview Place,Assisted Living,433 Floyd Drive,,Carrollton,41008,KY,(502) 732-7677,42 Units,US
USA-KY-93-KY-AssistedLiving-output-17,"River Reed Assisted Living Community, LLC",Assisted Living,601 Hawkins St.,,Carrollton,41008,KY,(502) 732-0129,11 Units,US
USA-KY-93-KY-AssistedLiving-output-18,Carriage Hall Assisted Living,Assisted Living,313 Cool Water Court,,Hopkinsville,42240,KY,(270) 707-3400,16 Units,US
USA-KY-93-KY-AssistedLiving-output-19,Morningside Assisted Living of Hopkinsville,Assisted Living,4190 Lafayette Road,,Hopkinsville,42240,KY,(270) 885-0220,42 Units,US
USA-KY-93-KY-AssistedLiving-output-20,Rose Mary C. Brooks Place,Assisted Living,200 Rose Mary Drive,,Winchester,40391,KY,(859) 745-4904,44 Units,US
USA-KY-93-KY-AssistedLiving-output-21,New Haven Assisted Living-Marion,Assisted Living,60 Nichols Drive,,Marion,42064,KY,(270) 965-4092,11 Units,US
USA-KY-93-KY-AssistedLiving-output-22,Fern Terra of Owensboro,Assisted Living,1415 West First St.,,Owensboro,42301,KY,(270) 926-2345,36 Units,US
USA-KY-93-KY-AssistedLiving-output-23,Heritage Place Assisted Living Center,Assisted Living,3362 Buckland Square,,Owensboro,42301,KY,(270) 689-0930,68 Units,US
USA-KY-93-KY-AssistedLiving-output-24,One Park Place,Assisted Living,2701 Frederica St.,,Owensboro,42301,KY,(270) 926-6669,104 Units,US
USA-KY-93-KY-AssistedLiving-output-25,Friendship Towers,Assisted Living,580 Greenfield Drive,,Lexington,40517,KY,(859) 271-9001,102 Units,US
USA-KY-93-KY-AssistedLiving-output-26,Hometown Manor of Lexington,Assisted Living,2141 Executive Drive,,Lexington,40505,KY,(859) 317-8439,15 Units,US
USA-KY-93-KY-AssistedLiving-output-27,"Liberty Ridge Senior Living, Inc.",Assisted Living,701 Liberty Lane,,Lexington,40509,KY,(859) 543-9449,62 Units,US
USA-KY-93-KY-AssistedLiving-output-28,Magnolia Springs Lexington Senior Living,Assisted Living,2701 Magnolia Springs Drive,,Lexington,40511,KY,(859) 410-6575,97 units,US
USA-KY-93-KY-AssistedLiving-output-29,Meadowthorpe Assisted Living,Assisted Living,191 Leestown Center Way,,Lexington,40511,KY,(859) 878-1300,40 units,US
USA-KY-93-KY-AssistedLiving-output-30,Hometown Manor of Frankfort,Assisted Living,201 Democrat Drive,,Frankfort,40601,KY,(859) 351-6190,19 Units,US
USA-KY-93-KY-AssistedLiving-output-31,Morningside Assisted Living of Mayfield,Assisted Living,1517 West Broadway Street,,Mayfield,42066,KY,(270) 251-0233,42 Units,US
USA-KY-93-KY-AssistedLiving-output-32,Beehive Home of Grayson County,Assisted Living,1417 Brandenburg Road,,Leitchfield,42754,KY,(270) 681-6760,16 Units,US
USA-KY-93-KY-AssistedLiving-output-33,Trinity Station Retirement Community,Assisted Living,2121 Argillite Road,,Flatwoods,41139,KY,(606) 833-1111,28 Units,US
USA-KY-93-KY-AssistedLiving-output-34,Atria Elizabethtown,Assisted Living,133 Heartland Drive,,Elizabethtown,42701,KY,(270) 360-8001,54 Units,US
USA-KY-93-KY-AssistedLiving-output-35,Bluegrass Assisted Living,Assisted Living,1108 Regency Way,,Elizabethtown,42701,KY,(270) 234-9440,41 Units,US
USA-KY-93-KY-AssistedLiving-output-36,Morningview Gardens Assisted Living,Assisted Living,571 Westport Road,,Elizabethtown,42701,KY,(270) 765-6103,41 Units,US
USA-KY-93-KY-AssistedLiving-output-37,RobinBrook Senior Living,Assisted Living,201 Harmony Way,,Elizabethtown,42701,KY,(270) 982-3343,61 Units,US
USA-KY-93-KY-AssistedLiving-output-38,Taylor Made Assisted Living,Assisted Living,205 Mercer Drive,,Elizabethtown,42701,KY,(270) 737-3478,11 Units,US
USA-KY-93-KY-AssistedLiving-output-39,The Allegro at Helmwood,Assisted Living,108 Diecks Drive,,Elizabethtown,42701,KY,(270) 765-4414,65 Units,US
USA-KY-93-KY-AssistedLiving-output-40,Tender Touch Senior Living,Assisted Living,200 N. Miles Street,,Elizabethtown,42701,KY,(270) 982-8363,19 Units,US
USA-KY-93-KY-AssistedLiving-output-41,Cedar Ridge Health Campus,Assisted Living,1217 U.S. Highway 62 East,,Cynthiana,41031,KY,(859) 234-2702,22 Units,US
USA-KY-93-KY-AssistedLiving-output-42,"Colonial Assisted Living, Inc",Assisted Living,2637 Stadium Drive,,Henderson,42420,KY,(270) 826-2493,69 Units,US
USA-KY-93-KY-AssistedLiving-output-43,Colonial Senior Living,Assisted Living,6575 Adams Lane,,Henderson,42420,KY,(270) 826-2493,51 units,US
USA-KY-93-KY-AssistedLiving-output-44,Twin Oaks Assisted Living,Assisted Living,98 Adams St.,,New Castle,40050,KY,(502) 845-4136,28 Units,US
USA-KY-93-KY-AssistedLiving-output-45,Oak Ridge Retirement Center,Assisted Living,750 Dodson Lane,,Madisonville,42431,KY,(270) 821-2111,33 Units,US
USA-KY-93-KY-AssistedLiving-output-46,The Paragon of Madisonville,Assisted Living,137 Stagecoach Road,,Madisonville,42431,KY,(270) 824-9006,41 Units,US
USA-KY-93-KY-AssistedLiving-output-47,Atria Springdale,Assisted Living,4501 Springdale Road,,Louisville,40241,KY,(502) 412-0222,90 Units,US
USA-KY-93-KY-AssistedLiving-output-48,Atria St. Matthews,Assisted Living,120 S Hubbards Lane,,Louisville,40207,KY,(502) 896-1759,70 Units,US
USA-KY-93-KY-AssistedLiving-output-49,Atria Stony Brook,Assisted Living,3451 S Hurstbourne Parkway,,Louisville,40299,KY,(502) 499-1391,90 Units,US
USA-KY-93-KY-AssistedLiving-output-50,"Beaumont Senior Living, LLC",Assisted Living,10210 Long Home Road,,Louisville,40291,KY,(502) 231-4522,110 Units,US
USA-KY-93-KY-AssistedLiving-output-51,Beehive Home of Lyndon,Assisted Living,8401 LaGrange Road,,Louisville,40222,KY,(502) 423-0103,14 Units,US
USA-KY-93-KY-AssistedLiving-output-52,Beehive Home of Smyrna,Assisted Living,8800 Smyrna Parkway,,Louisville,40228,KY,(502) 345-1468,15 Units,US
USA-KY-93-KY-AssistedLiving-output-53,Beehive Home of Smyrna-Memory Care,Assisted Living,8802 Smyrna Parkway,,Louisville,40228,KY,(502) 345-1468,20 Units,US
USA-KY-93-KY-AssistedLiving-output-54,Brookdale Stonestreet,Assisted Living,9251 Stonestreet Road,,Louisville,40272,KY,(502) 935-5884,60 Units,US
USA-KY-93-KY-AssistedLiving-output-55,Franciscan Healthcare Center Assisted Living,Assisted Living,3625 Fern Valley Road,,Louisville,40219,KY,(502) 964-3381,52 Units,US
USA-KY-93-KY-AssistedLiving-output-56,Hallmark House,Assisted Living,10301 Coneflower Ln.,,Prospect,40059,KY,(502) 290-6706,34 units,US
USA-KY-93-KY-AssistedLiving-output-57,Hoskinson House at Wesley Manor,Assisted Living,5012 E. Manslick Road,,Louisville,40219,KY,(502) 969-3277,39 Units,US
USA-KY-93-KY-AssistedLiving-output-58,Magnolia Springs Senior Living,Assisted Living,8225 Whipps Mill Road,,Louisville,40222,KY,(502) 716-5160,90 Units,US
USA-KY-93-KY-AssistedLiving-output-59,Magnolia Springs East Senior Living,Assisted Living,13600 LaGrange Road,,Louisville,40245,KY,(502) 855-7500,90 Units,US
USA-KY-93-KY-AssistedLiving-output-60,Roy E. and Marguerite Karlen Assisted Living,Assisted Living,11530 Herrick Lane,,Louisville,40243,KY,(502) 254-1799,19 Units,US
USA-KY-93-KY-AssistedLiving-output-61,Symphony at Valley Farms,Assisted Living,10201 Valley Farms Blvd.,,Louisville,40272,KY,(502) 753-6004,65 Units,US
USA-KY-93-KY-AssistedLiving-output-62,Twinbrook Hotel Apartments,Assisted Living,3525 Epharaim McDowell Drive,,Louisville,40205,KY,(502) 452-6330,61 Units,US
USA-KY-93-KY-AssistedLiving-output-63,Council Oaks Assisted Living Home of Nicholasville,Assisted Living,111 Coconut Grove Drive,,Nicholasville,40356,KY,(859) 887-9382,19 Units,US
USA-KY-93-KY-AssistedLiving-output-64,Atria Highland Crossing,Assisted Living,400 Farrell Drive,,Fort Wright,41011,KY,(859) 341-0777,136 Units,US
USA-KY-93-KY-AssistedLiving-output-65,Atria Summit Hills,Assisted Living,2625 Legends Way,,Crestview Hills,41017,KY,(859) 331-5951,84 Units,US
USA-KY-93-KY-AssistedLiving-output-66,Madonna Manor,Assisted Living,2344 Amsterdam Road,,Villa Hills,41017,KY,(859) 426-6400,40 Units,US
USA-KY-93-KY-AssistedLiving-output-67,Laurel Village,Assisted Living,815 Mill St.,,London,40741,KY,(606) 864-9015,34 Units,US
USA-KY-93-KY-AssistedLiving-output-68,Village Heights,Assisted Living,212 West 12th St.,,London,40741,KY,(606) 878-2321,34 Units,US
USA-KY-93-KY-AssistedLiving-output-69,Hometown Manor of Russellville,Assisted Living,108 Boyles Drive,,Russellville,42276,KY,(270) 726-4187,16 Units,US
USA-KY-93-KY-AssistedLiving-output-70,River's Bend Retirement Community,Assisted Living,300 Beech St.,,Kuttawa,42055,KY,(270) 388-2868,18 Units,US
USA-KY-93-KY-AssistedLiving-output-71,Arcadian Cove,Assisted Living,532 Cady Drive,,Richmond,40475,KY,(859) 624-0022,49 Units,US
USA-KY-93-KY-AssistedLiving-output-72,McCready Manor,Assisted Living,300 Stocker Drive,,Richmond,40475,KY,(606) 625-1400,73 Units,US
USA-KY-93-KY-AssistedLiving-output-73,The Village of Lebanon Assisted Living,Assisted Living,101 Village Way,,Lebanon,40033,KY,(270) 692-9000,29 Units,US
USA-KY-93-KY-AssistedLiving-output-74,Stilley House Assisted Living,Assisted Living,971 Birch St.,,Benton,42025,KY,(270) 527-1700,56 Units,US
USA-KY-93-KY-AssistedLiving-output-75,Kenton Pointe Assisted Living Community,Assisted Living,1455 Kenton Pointe Way,,Maysville,41056,KY,(606) 759-0311,32 Units,US
USA-KY-93-KY-AssistedLiving-output-76,Brookdale Paducah,Assisted Living,2121 New Holt Road,,Paducah,42001,KY,(270) 554-6911,58 Units,US
USA-KY-93-KY-AssistedLiving-output-77,"Gaither Suites at West Park, LLC",Assisted Living,4960 Village Square Drive,,Paducah,42001,KY,(931) 507-1230,14 Units,US
USA-KY-93-KY-AssistedLiving-output-78,"Lakes of Paducha, LLC",Assisted Living,2265 Olivet Church Road,,Paducah,42001,KY,(270) 448-7777,42 Units,US
USA-KY-93-KY-AssistedLiving-output-79,Morningside Assisted Living of Paducah,Assisted Living,1700 Elmdale Road,,Paducah,42003,KY,(270) 534-9173,67 Units,US
USA-KY-93-KY-AssistedLiving-output-80,New Haven Assisted Living-Paducah,Assisted Living,1002 N 32nd St.,,Paducah,42001,KY,(270) 443-2332,11 Units,US
USA-KY-93-KY-AssistedLiving-output-81,All About Home Assisted Living with Heart,Assisted Living,160 Lawrence St.,,Brandenburg,40108,KY,(270) 422-2273,17 Units,US
USA-KY-93-KY-AssistedLiving-output-82,Beehive Home Of Brandenburg,Assisted Living,103 Commerce Drive,,Brandenburg,40108,KY,(502) 345-1468,16 Units,US
USA-KY-93-KY-AssistedLiving-output-83,The Harrod Assisted Living,Assisted Living,200 Conover Drive,,Harrodsburg,40330,KY,(859) 734-9771,42 Units,US
USA-KY-93-KY-AssistedLiving-output-84,"Sterling Meadows, LLC",Assisted Living,209 North Maysville,,Mt. Sterling,40353,KY,(859) 498-0033,30 Units,US
USA-KY-93-KY-AssistedLiving-output-85,The Courtyard,Assisted Living,100 West Broad St.,,Central City,42330,KY,(270) 757-1100,38 Units,US
USA-KY-93-KY-AssistedLiving-output-86,"Bluegrass Assisted Living Properties III, LLC",Assisted Living,107 Thruway Drive,,Bardstown,40004,KY,(502) 349-2026,41 Units,US
USA-KY-93-KY-AssistedLiving-output-87,Hometown Manor ALC-Bardstown,Assisted Living,103 Manor Drive,,Bardstown,40004,KY,(859) 229-5914,12 Units,US
USA-KY-93-KY-AssistedLiving-output-88,"Windsor Gardens, LLC-Bardstown",Assisted Living,101 Isaac Greer Court,,Bardstown,40004,KY,(502) 349-6214,53 Units,US
USA-KY-93-KY-AssistedLiving-output-89,Dogwood Estates,Assisted Living,949 W. Seventh St.,,Beaver Dam,42320,KY,(270) 274-5700,22 Units,US
USA-KY-93-KY-AssistedLiving-output-90,Dogwood Retreat,Assisted Living,35 Clearview Drive,,Hartford,42347,KY,(270) 298-3936,12 Units,US
USA-KY-93-KY-AssistedLiving-output-91,Beehive of Goshen,Assisted Living,12336 US HWY 42,,Goshen,40026,KY,(502) 292-3200,16 Units,US
USA-KY-93-KY-AssistedLiving-output-92,Countryside Meadows,Assisted Living,640 Jericho Road,,Lagrange,40031,KY,(502) 225-6810,12 Units,US
USA-KY-93-KY-AssistedLiving-output-93,The Oaks Assisted Living,Assisted Living,1010 Richwood Way,,Lagrange,40031,KY,(502) 222-3552,24 Units,US
USA-KY-93-KY-AssistedLiving-output-94,Cedar Creek Assisted Living,Assisted Living,156 Winston Road,,Pikeville,41501,KY,(606) 432-8243,50 Units,US
USA-KY-93-KY-AssistedLiving-output-95,The Crestview Assisted Living,Assisted Living,235 S. Richardson Drive,,Somerset,42501,KY,(606) 678-8927,12 Units,US
USA-KY-93-KY-AssistedLiving-output-96,Highlands Place,Assisted Living,225 Norfleet Drive,,Somerset,42501,KY,(606) 678-5885,55 Units,US
USA-KY-93-KY-AssistedLiving-output-97,The Neighborhood of Somerset,Assisted Living,100 Neighborly Way,,Somerset,42503,KY,(606) 677-0166,42 Units,US
USA-KY-93-KY-AssistedLiving-output-98,"Cave Run Manor, Inc.",Assisted Living,1100 KY HWY 801 South,,Morehead,40351,KY,(606) 780-1119,16 Units,US
USA-KY-93-KY-AssistedLiving-output-99,Hometown Manor of Georgetown,Assisted Living,523 E. Washington St.,,Georgetown,40324,KY,(859) 229-5914,15 Units,US
USA-KY-93-KY-AssistedLiving-output-100,Windsor Gardens of Georgetown,Assisted Living,100 Windsor Path,,Georgetown,40324,KY,(502) 570-0540,43 Units,US
USA-KY-93-KY-AssistedLiving-output-101,Amber Oaks,Assisted Living,156 Haven Hill Road,,Shelbyville,40065,KY,(502) 647-4546,42 Units,US
USA-KY-93-KY-AssistedLiving-output-102,Crescent Place Assisted Living,Assisted Living,148 Allen Drive,,Shelbyville,40065,KY,(502) 633-6622,43 Units,US
USA-KY-93-KY-AssistedLiving-output-103,"Hometown Manor of Shelbyville, LLC",Assisted Living,74 Mack Walters Road,,Shelbyville,40065,KY,(502) 229-5914,11 Units,US
USA-KY-93-KY-AssistedLiving-output-104,The Pillars Assisted Living,Assisted Living,711 Frankfort Road,,Shelbyville,40065,KY,(502) 633-3486,21 Units,US
USA-KY-93-KY-AssistedLiving-output-105,New Haven-Franklin I,Assisted Living,1119 Brookhaven,,Franklin,42134,KY,(270) 598-8831,12 Units,US
USA-KY-93-KY-AssistedLiving-output-106,New Haven-Franklin II,Assisted Living,1117 Brookhaven,,Franklin,42134,KY,(270) 598-8830,12 Units,US
USA-KY-93-KY-AssistedLiving-output-107,Bluegrass Way Senior Living,Assisted Living,100 Garden Way,,Campbellsville,42718,KY,(270) 789-1200,51 Units,US
USA-KY-93-KY-AssistedLiving-output-108,Barkley Plantation,Assisted Living,640 Bypass Road,,Cadiz,42211,KY,(270) 522-0018,26 Units,US
USA-KY-93-KY-AssistedLiving-output-109,Breckinridge Place,Assisted Living,170 Sykes Blvd.,,Morganfield,42437,KY,(270) 389-1133,32 Units,US
USA-KY-93-KY-AssistedLiving-output-110,Bowling Green Retirement Village,Assisted Living,445 Middle Bridge Road,,Bowling Green,42103,KY,(270) 842-5433,137 Units,US
USA-KY-93-KY-AssistedLiving-output-111,Chandler Memory Care & Assisted Living,Assisted Living,1310 Campbell Lane,,Bowling Green,42104,KY,(270) 599-0360,31 Units,US
USA-KY-93-KY-AssistedLiving-output-112,Chandler Park Assisted Living,Assisted Living,2643 Chandler Drive,,Bowling Green,42104,KY,(270) 842-2626,61 Units,US
USA-KY-93-KY-AssistedLiving-output-113,Massey Springs Senior Living,Assisted Living,2945 Smallhouse Road,,Bowling Green,42104,KY,(270) 842-0004,34 Units,US
USA-KY-93-KY-AssistedLiving-output-114,Morningside of Bowling Green,Assisted Living,981 Campbell Lane,,Bowling Green,42104,KY,(270) 746-9600,42 Units,US
USA-KY-93-KY-AssistedLiving-output-115,Palmer Place I,Assisted Living,500 US Hwy 41-A North,,Providence,42450,KY,(270) 667-7772,40 Units,US
USA-KY-93-KY-AssistedLiving-output-116,Daisy Hill Senior Living,Assisted Living,1001 Crossfield Drive,,Versailles,40383,KY,(859) 753-2000,45 Units,US
USA-KY-93-KY-AssistedLiving-output-117,The Homeplace at Midway,Assisted Living,101 Sexton Way,,Midway,40347,KY,(859) 846-4663,11 Units,US
